1171263	1/4 S/S ExtTooth L/W
"1/4"" Martensitic Stainless Steel External Tooth Lock Washer"	
1173245	10-32X1/4 SSS CP S/S
"#10-32 x 1/4"" Hex Drive Cup Point Grade 18-8 Stainless Steel Socket Set Screw"	
1173247	10-32X3/8 SSS CP S/S
"#10-32 x 3/8"" Hex Drive Cup Point Grade 18-8 Stainless Steel Socket Set Screw"	
1173258	1/4-20X3/8 SSS CPS/S
"1/4""-20 x 3/8"" Hex Drive Cup Point Grade 18-8 Stainless Steel Socket Set Screw"	
1173410	4-40 X 1/4 SHCS S/S
"#4-40 x 1/4"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
1173411	4-40 X 3/8 SHCS S/S
"#4-40 x 3/8"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
1173412	4-40 X 1/2 SHCS S/S
"#4-40 x 1/2"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
1173413	6-32 x 1/4 S/S SHCS
"#6-32 x 1/4"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
1173414	6-32 X 3/8 S/S SHCS
"#6-32 x 3/8"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
1173415	6-32 X 1/2 S/S SHCS
"#6-32 x 1/2"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
1173416	6-32 X 3/4 S/S SHCS
"#6-32 x 3/4"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
1173420	8-32 x 1/4 S/S SHCS
"#8-32 x 1/4"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
1173421	8-32 X 3/8 S/S SHCS
"#8-32 x 3/8"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
1173422	8-32 X 1/2 S/S SHCS
"#8-32 x 1/2"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
1173423	8-32 X 5/8 S/S SHCS
"#8-32 x 5/8"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
1173424	8-32 X 3/4 S/S SHCS
"#8-32 x 3/4"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
1173425	8-32 X 1 S/S SHCS
"#8-32 x 1"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
1173440	10-24 X 1 S/S SHCS
"#10-24 x 1"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
1173447	10-32 X 3/8S/S SHCS
"#10-32 x 3/8"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
1173448	10-32 X 1/2S/S SHCS
"#10-32 x 1/2"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
1173449	10-32 X 5/8S/S SHCS
"#10-32 x 5/8"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
1173450	10-32 X 3/4S/S SHCS
"#10-32 x 3/4"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
1173451	10-32 X 1 S/S SHCS
"#10-32 x 1"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
1173452	10-32X1 1/4S/S SHCS
"#10-32 x 1-1/4"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
1173453	10-32X1 1/2S/S SHCS
"#10-32 x 1-1/2"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
1173458	1/4-20x3/8 S/S SHCS
"1/4""-20 x 3/8"" ASTM F837 Hex Drive Grade 18-8 Stainless Steel Socket Cap Screw"	
1173460	1/4-20X5/8 S/S SHCS
